Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;03/2020;6.793;0;0;321.325;0;328.118;147.413;0;0;13.121;0;0;13.121;7.999.120;8.487.773;2.464.979;25.540.875;36.493.627;385;1.648.354;38.142.365
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;03/2020;1.382.002;0;237.304;8.029.281;0;9.648.587;3.377.374;0;0;0;0;0;0;1.190.365;14.216.326;11.736.073;7.598.747;33.551.146;1.365;2.912.650;36.465.161
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;03/2020;168.933;0;0;1.910.096;0;2.079.029;623.212;0;0;0;0;0;0;4.642.741;7.344.983;3.058.984;22.770.109;33.174.075;2.296;1.263.234;34.439.605
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;03/2020;28.159;0;9.296.702;11.101.342;0;20.426.203;243.393;310.644;0;1.569.961;0;0;1.880.605;0;22.550.201;29.596;5.821.098;28.400.896;2;5.021.900;33.422.798
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;03/2020;1.058.155;3.160.650;65.095;8.823.854;5.695;13.113.450;11.000.769;210.549;83.980;0;0;0;294.530;148.089;24.556.837;0;933.558;25.490.395;4.281;1.555.661;27.050.336
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S4;C;2;SAO PAULO;SP;03/2020;0;0;0;7.625.785;4.737.229;12.363.014;0;0;0;314.248;0;90.588;404.836;364.597;13.132.447;0;12.615.510;25.747.957;96.961;927.021;26.771.939
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;03/2020;0;0;4.018.729;7.422.152;0;11.440.881;0;0;0;2.826.906;0;0;2.826.906;1.849.756;16.117.543;22.118;4.593.870;20.733.531;150.525;2.661.039;23.545.095
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;03/2020;0;0;0;5.678.868;0;5.678.868;151.825;0;0;0;0;211.096;211.096;13.341;6.055.130;9.798.435;4.191.199;20.044.763;0;2.005.026;22.049.790
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;03/2020;7.439;0;0;67.265;0;74.704;128.964;0;0;0;0;0;0;4.886.159;5.089.826;1.177.857;14.124.438;20.392.122;11.139;1.460.962;21.864.223
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;03/2020;74.628;2.935;499.067;3.740.987;0;4.317.618;3.235.780;11.495;457.743;813.452;55.066;0;1.337.756;6.288.920;15.180.074;173.620;3.872.371;19.226.064;19.247;1.619.788;20.865.100
