Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A.;10440482;n4;S1;I;3;SAO PAULO;SP;12/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;652.545;652.545;9.663;23.297.640;23.959.848;0;2.611.765;26.571.614
BANESTES;30159;b1;S3;C;1;VITORIA;ES;12/2019;813.672;3.054.604;65.627;7.755.656;7.911;11.697.470;8.744.311;335.649;106.179;0;0;0;441.828;151.009;21.034.619;0;912.753;21.947.372;4.554;1.608.362;23.560.288
BANCO MUFG BRASIL S.A.;60498557;b1;S3;I;3;SAO PAULO;SP;12/2019;127.511;0;0;1.722.779;0;1.850.290;540.021;0;0;0;0;0;0;3.733.513;6.123.823;626.419;15.496.778;22.247.020;2.696;1.261.830;23.511.546
BANCO VOLKSWAGEN S.A.;59109165;b2;S3;I;3;SAO PAULO;SP;12/2019;0;0;2.587.936;6.265.743;0;8.853.679;0;0;0;2.726.522;0;0;2.726.522;2.123.498;13.703.699;9.483;4.923.924;18.637.106;176.005;2.627.089;21.440.200
CREDIT AGRICOLE;51066;b1;S3;C;3;SAO PAULO;SP;12/2019;4.550;0;0;494.515;0;499.065;68.776;0;0;26.827;0;0;26.827;3.508.900;4.103.568;361.755;14.621.192;19.086.515;560;1.662.400;20.749.475
BANCO DA AMAZONIA S.A.;4902979;b1;S3;I;1;BELEM;PA;12/2019;1.052.696;588.915;29.782;1.316.656;1.412.264;4.400.314;99.997;0;235.027;0;0;0;235.027;832.091;5.567.430;0;12.712.205;18.279.635;0;2.199.206;20.478.841
NU PAGAMENTOS S.A.;18236120;n4;S4;I;2;SAO PAULO;SP;12/2019;0;0;0;0;5.339.314;5.339.314;0;0;0;0;0;0;0;387.194;5.726.508;0;13.640.021;19.366.530;85.258;1.001.831;20.453.618
BOFA MERRILL LYNCH;51255;b1;S3;C;3;SAO PAULO;SP;12/2019;1.282.009;0;234.920;6.593.787;0;8.110.715;1.958.927;0;0;0;0;0;0;0;10.069.643;4.490.112;2.584.287;17.144.041;1.379;2.869.248;20.014.668
BMG;30290;b1;S3;C;2;SAO PAULO;SP;12/2019;68.938;0;53.400;10.146.732;2.706;10.271.776;0;49.149;83.857;534.552;59.279;0;726.837;712.224;11.710.838;130.857;3.040.544;14.882.239;0;4.028.315;18.910.554
MORGAN STANLEY;51413;b1;S3;C;3;SAO PAULO;SP;12/2019;0;0;7.125;1.018.388;0;1.025.513;4.360.886;0;0;0;0;4.289.144;4.289.144;291.298;9.966.841;2.904.195;2.180.195;15.051.231;0;3.475.809;18.527.041
CCB;32119;b1;S3;C;3;SAO PAULO;SP;12/2019;86.744;2.977;340.228;3.160.732;0;3.590.682;3.610.128;21.982;610.298;754.625;55.066;0;1.441.971;4.798.032;13.440.812;14.890;3.407.563;16.863.265;20.600;1.590.988;18.474.853
SOCIETE GENERALE;31859;b1;S3;C;3;SAO PAULO;SP;12/2019;5.965;0;0;77.664;0;83.629;57.470;0;0;0;0;0;0;3.299.295;3.440.394;390.654;12.238.762;16.069.810;9.396;1.446.546;17.525.751
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;S3;I;1;PORTO ALEGRE;RS;12/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;13.063.036;13.063.036;0;915.583;13.978.619;6.176;2.887.003;16.871.798
BRB;31976;b1;S3;C;1;BRASILIA;DF;12/2019;785.131;2.057.390;0;9.255.366;3.127;12.101.015;323.266;193.748;0;10.753;0;0;204.501;128.456;12.757.239;0;2.172.571;14.929.810;104;1.737.325;16.667.239
PAGSEGURO INTERNET S.A.;8561701;n4;;I;2;SAO PAULO;SP;12/2019;0;0;0;0;1.236.217;1.236.217;0;0;0;0;0;0;0;0;1.236.217;0;7.248.718;8.484.935;377;7.601.705;16.087.016
ALFA;51293;b1;S3;C;2;SAO PAULO;SP;12/2019;47.391;0;11.313;1.236.323;0;1.295.027;1.127.155;37.071;469.909;5.533.137;0;884.519;6.924.636;1.267.690;10.614.508;463.170;506.150;11.583.828;21.444;2.546.564;14.151.835
BANCO GMAC S.A.;59274605;b2;S3;I;3;SAO PAULO;SP;12/2019;0;0;2.609.853;3.804.706;0;6.414.559;0;0;0;2.047.445;0;0;2.047.445;0;8.462.005;0;2.867.452;11.329.456;127.558;2.564.736;14.021.750
MERCEDES-BENZ;51262;b2;S3;C;3;SAO PAULO;SP;12/2019;0;0;4.389.590;2.781.765;0;7.171.355;0;0;0;320.082;0;0;320.082;3.056.339;10.547.776;3.996;542.511;11.094.282;8.840;1.975.899;13.079.021
ORIGINAL;51781;b1;S3;C;2;SAO PAULO;SP;12/2019;381.457;0;134.020;5.383.248;6.899;5.905.624;349.225;1.864.281;1.528.559;60.903;0;0;3.453.743;0;9.708.592;18.198;696.997;10.423.788;18.236;2.233.332;12.675.356
BANCO CLASSICO S.A.;31597552;b1;S3;I;2;RIO DE JANEIRO;RJ;12/2019;125;0;0;0;0;125;1.116.337;0;0;0;0;0;0;0;1.116.462;0;3.351.727;4.468.189;0;7.648.732;12.116.921
GOLDMAN SACHS;51585;b2;S3;C;3;SAO PAULO;SP;12/2019;0;0;0;930.284;0;930.284;230.884;0;0;0;0;172.534;172.534;378.511;1.712.212;6.811.297;991.621;9.515.130;0;1.920.461;11.435.591
BANCO CSF S.A.;8357240;b2;S3;I;3;SAO PAULO;SP;12/2019;7.415;0;20.004;4.193;0;31.612;281.842;0;0;1.204.546;0;0;1.204.546;0;1.518.001;0;6.923.988;8.441.988;780;2.569.577;11.012.346
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;S3;I;3;CURITIBA;PR;12/2019;0;0;971.493;655.414;0;1.626.908;0;319.843;92.378;881.514;0;0;1.293.735;5.942.622;8.863.265;44.065;119.862;9.027.192;205.608;1.249.835;10.482.635
PINE;50304;b1;S3;C;2;SAO PAULO;SP;12/2019;90.264;0;67.049;5.681.988;0;5.839.300;345.394;260.878;262.645;10.853;0;0;534.376;122.914;6.841.985;2.044.069;412.755;9.298.809;33.894;841.056;10.173.759
MERCANTIL DO BRASIL;20152;b1;S3;C;2;BELO HORIZONTE;MG;12/2019;313.028;200.773;54.936;6.223.356;0;6.792.093;236.530;5.136;142.225;17.575;0;0;164.936;0;7.193.558;0;1.911.576;9.105.134;337;931.324;10.036.795
INTER;51884;b1;S4;C;2;BELO HORIZONTE;MG;12/2019;2.089.691;307.098;0;2.609.479;0;5.006.268;166.432;1.734.029;0;11.186;0;12.704;1.757.919;37.887;6.968.505;20.941;838.143;7.827.589;5.167;2.201.545;10.034.301
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;b1;S3;I;3;SAO PAULO;SP;12/2019;516.255;0;700;1.200.016;0;1.716.971;0;0;0;0;0;0;0;1.358.633;3.075.604;432.851;4.569.192;8.077.647;3.858;1.635.200;9.716.705
